"sexo","cor_raca","age_x","N_t1"
"Feminino","Amarela",0,53894
"Feminino","Amarela",5,62098
"Feminino","Amarela",10,71709
"Feminino","Amarela",15,88107
"Feminino","Amarela",20,97992
"Feminino","Amarela",25,102398
"Feminino","Amarela",30,96049
"Feminino","Amarela",35,79922
"Feminino","Amarela",40,71346
"Feminino","Amarela",45,65306
"Feminino","Amarela",50,56362
"Feminino","Amarela",55,50599
"Feminino","Amarela",60,44613
"Feminino","Amarela",65,36262
"Feminino","Amarela",70,28822
"Feminino","Amarela",75,21049
"Feminino","Amarela",80,25422
"Feminino","Branca",0,3481124
"Feminino","Branca",5,3337149
"Feminino","Branca",10,3479260
"Feminino","Branca",15,3715497
"Feminino","Branca",20,3844396
"Feminino","Branca",25,4044491
"Feminino","Branca",30,3979166
"Feminino","Branca",35,3544104
"Feminino","Branca",40,3356813
"Feminino","Branca",45,3272085
"Feminino","Branca",50,2947573
"Feminino","Branca",55,2506014
"Feminino","Branca",60,2023705
"Feminino","Branca",65,1547371
"Feminino","Branca",70,1228746
"Feminino","Branca",75,961381
"Feminino","Branca",80,1218578
"Feminino","Indígena",0,55970
"Feminino","Indígena",5,54067
"Feminino","Indígena",10,50811
"Feminino","Indígena",15,45790
"Feminino","Indígena",20,39351
"Feminino","Indígena",25,35368
"Feminino","Indígena",30,31813
"Feminino","Indígena",35,26292
"Feminino","Indígena",40,21944
"Feminino","Indígena",45,19762
"Feminino","Indígena",50,16571
"Feminino","Indígena",55,14184
"Feminino","Indígena",60,11526
"Feminino","Indígena",65,9055
"Feminino","Indígena",70,6679
"Feminino","Indígena",75,4687
"Feminino","Indígena",80,6475
"Feminino","Parda",0,3212422
"Feminino","Parda",5,3666785
"Feminino","Parda",10,4129143
"Feminino","Parda",15,4100284
"Feminino","Parda",20,3863901
"Feminino","Parda",25,3874210
"Feminino","Parda",30,3719669
"Feminino","Parda",35,3203843
"Feminino","Parda",40,2842516
"Feminino","Parda",45,2579083
"Feminino","Parda",50,2199658
"Feminino","Parda",55,1769910
"Feminino","Parda",60,1359059
"Feminino","Parda",65,997175
"Feminino","Parda",70,739116
"Feminino","Parda",75,516502
"Feminino","Parda",80,580665
"Feminino","Preta",0,349921
"Feminino","Preta",5,449559
"Feminino","Preta",10,554264
"Feminino","Preta",15,640038
"Feminino","Preta",20,686136
"Feminino","Preta",25,736117
"Feminino","Preta",30,718190
"Feminino","Preta",35,616925
"Feminino","Preta",40,563439
"Feminino","Preta",45,526923
"Feminino","Preta",50,475299
"Feminino","Preta",55,389621
"Feminino","Preta",60,306922
"Feminino","Preta",65,228387
"Feminino","Preta",70,173044
"Feminino","Preta",75,125042
"Feminino","Preta",80,144278
"Masculino","Amarela",0,57715
"Masculino","Amarela",5,64726
"Masculino","Amarela",10,67723
"Masculino","Amarela",15,70180
"Masculino","Amarela",20,75182
"Masculino","Amarela",25,79369
"Masculino","Amarela",30,76132
"Masculino","Amarela",35,64200
"Masculino","Amarela",40,57730
"Masculino","Amarela",45,53892
"Masculino","Amarela",50,47680
"Masculino","Amarela",55,43259
"Masculino","Amarela",60,38613
"Masculino","Amarela",65,31307
"Masculino","Amarela",70,25103
"Masculino","Amarela",75,16986
"Masculino","Amarela",80,17680
"Masculino","Branca",0,3587742
"Masculino","Branca",5,3413154
"Masculino","Branca",10,3522765
"Masculino","Branca",15,3616647
"Masculino","Branca",20,3666576
"Masculino","Branca",25,3814201
"Masculino","Branca",30,3675137
"Masculino","Branca",35,3216433
"Masculino","Branca",40,2997128
"Masculino","Branca",45,2895667
"Masculino","Branca",50,2593874
"Masculino","Branca",55,2189346
"Masculino","Branca",60,1738974
"Masculino","Branca",65,1281782
"Masculino","Branca",70,946233
"Masculino","Branca",75,665729
"Masculino","Branca",80,690503
"Masculino","Indígena",0,58421
"Masculino","Indígena",5,56008
"Masculino","Indígena",10,52080
"Masculino","Indígena",15,46162
"Masculino","Indígena",20,40354
"Masculino","Indígena",25,36236
"Masculino","Indígena",30,31990
"Masculino","Indígena",35,26730
"Masculino","Indígena",40,22075
"Masculino","Indígena",45,19446
"Masculino","Indígena",50,16038
"Masculino","Indígena",55,13088
"Masculino","Indígena",60,10338
"Masculino","Indígena",65,7939
"Masculino","Indígena",70,5964
"Masculino","Indígena",75,4014
"Masculino","Indígena",80,4640
"Masculino","Parda",0,3403992
"Masculino","Parda",5,3883031
"Masculino","Parda",10,4280769
"Masculino","Parda",15,4196105
"Masculino","Parda",20,3899304
"Masculino","Parda",25,3820684
"Masculino","Parda",30,3601977
"Masculino","Parda",35,3094647
"Masculino","Parda",40,2722153
"Masculino","Parda",45,2418125
"Masculino","Parda",50,2042314
"Masculino","Parda",55,1622506
"Masculino","Parda",60,1236309
"Masculino","Parda",65,897251
"Masculino","Parda",70,637229
"Masculino","Parda",75,416831
"Masculino","Parda",80,416945
"Masculino","Preta",0,384784
"Masculino","Preta",5,504990
"Masculino","Preta",10,617877
"Masculino","Preta",15,710906
"Masculino","Preta",20,759821
"Masculino","Preta",25,825197
"Masculino","Preta",30,813913
"Masculino","Preta",35,697947
"Masculino","Preta",40,622715
"Masculino","Preta",45,561160
"Masculino","Preta",50,484510
"Masculino","Preta",55,382208
"Masculino","Preta",60,288748
"Masculino","Preta",65,207289
"Masculino","Preta",70,146425
"Masculino","Preta",75,96889
"Masculino","Preta",80,97712
